model,scenario,lr,epochs,train_acc,val_acc
Perceptron OVA,Balanced,0.001,5,0.83575,0.7725
Perceptron OVA,Balanced,0.001,10,0.78525,0.715
Perceptron OVA,Balanced,0.001,20,0.847125,0.76
Perceptron OVA,Balanced,0.01,5,0.80425,0.7385
Perceptron OVA,Balanced,0.01,10,0.851,0.773
Perceptron OVA,Balanced,0.01,20,0.864875,0.7675
Perceptron OVA,Balanced,0.1,5,0.833125,0.7785
Perceptron OVA,Balanced,0.1,10,0.839125,0.762
Perceptron OVA,Balanced,0.1,20,0.842875,0.76
Perceptron OVO,Balanced,0.001,3,0.842375,0.784
Perceptron OVO,Balanced,0.001,5,0.88525,0.8195
Perceptron OVO,Balanced,0.001,10,0.902125,0.8135
Perceptron OVO,Balanced,0.01,3,0.83325,0.784
Perceptron OVO,Balanced,0.01,5,0.86625,0.801
Perceptron OVO,Balanced,0.01,10,0.8865,0.8155
Perceptron OVO,Balanced,0.1,3,0.840875,0.7925
Perceptron OVO,Balanced,0.1,5,0.8785,0.814
Perceptron OVO,Balanced,0.1,10,0.891125,0.807
Softmax,Balanced,0.0005,100,0.671125,0.6595
Softmax,Balanced,0.0005,200,0.68875,0.678
Softmax,Balanced,0.0005,300,0.700875,0.6925
Softmax,Balanced,0.001,100,0.68875,0.678
Softmax,Balanced,0.001,200,0.710375,0.704
Softmax,Balanced,0.001,300,0.724,0.7225
Softmax,Balanced,0.003,100,0.724,0.7225
Softmax,Balanced,0.003,200,0.757625,0.747
Softmax,Balanced,0.003,300,0.776875,0.7645
Perceptron OVA,Imbalanced,0.001,5,0.9456896551724138,0.8586206896551725
Perceptron OVA,Imbalanced,0.001,10,0.975,0.8551724137931035
Perceptron OVA,Imbalanced,0.001,20,0.9922413793103448,0.8655172413793103
Perceptron OVA,Imbalanced,0.01,5,0.9422413793103448,0.8275862068965517
Perceptron OVA,Imbalanced,0.01,10,0.978448275862069,0.8793103448275862
Perceptron OVA,Imbalanced,0.01,20,0.996551724137931,0.8517241379310345
Perceptron OVA,Imbalanced,0.1,5,0.9310344827586207,0.8344827586206897
Perceptron OVA,Imbalanced,0.1,10,0.9767241379310345,0.8931034482758621
Perceptron OVA,Imbalanced,0.1,20,0.993103448275862,0.8620689655172413
Perceptron OVO,Imbalanced,0.001,3,0.8913793103448275,0.8
Perceptron OVO,Imbalanced,0.001,5,0.9663793103448276,0.8586206896551725
Perceptron OVO,Imbalanced,0.001,10,0.993103448275862,0.9
Perceptron OVO,Imbalanced,0.01,3,0.9318965517241379,0.8448275862068966
Perceptron OVO,Imbalanced,0.01,5,0.971551724137931,0.8931034482758621
Perceptron OVO,Imbalanced,0.01,10,0.9862068965517241,0.8827586206896552
Perceptron OVO,Imbalanced,0.1,3,0.9301724137931034,0.8517241379310345
Perceptron OVO,Imbalanced,0.1,5,0.9594827586206897,0.8758620689655172
Perceptron OVO,Imbalanced,0.1,10,0.993103448275862,0.8689655172413793
Softmax,Imbalanced,0.0005,100,0.7025862068965517,0.6931034482758621
Softmax,Imbalanced,0.0005,200,0.7267241379310345,0.7241379310344828
Softmax,Imbalanced,0.0005,300,0.746551724137931,0.7482758620689656
Softmax,Imbalanced,0.001,100,0.7267241379310345,0.7241379310344828
Softmax,Imbalanced,0.001,200,0.7577586206896552,0.7551724137931034
Softmax,Imbalanced,0.001,300,0.7758620689655172,0.7620689655172413
Softmax,Imbalanced,0.003,100,0.7758620689655172,0.7620689655172413
Softmax,Imbalanced,0.003,200,0.8068965517241379,0.7793103448275862
Softmax,Imbalanced,0.003,300,0.8232758620689655,0.7896551724137931
